date,shift,dispatcher,daily_ore_fed,warehouse_2_status,crushed_ore_sst,ore_to_int_bunkers,int_bunkers_status,processed_ore_mfc,processed_ore_moisture,dry_processed_ore,granodiorites,dikes,schists,pulp_density,cu_content_in_ores,adjusted_cu_content_in_ores,cu_content_in_waste,cu_metal_in_waste,cu_metal_in_concentrate,tech_extraction,load_extraction,extracted_cu_concentrate,cu_concentrate_moisture,cu_metal_in_concentrate_chem,liter_weight_in_thickener,timestamp,original_sheet
01.01.2025,1,Димитър Цончев,15768.0,1.0,15694.0,17126.0,6.1,15129.0,0.079,13934,0.559,0.399,0.042,0.37,0.00248,0.0027201060714798,0.0003,4.180199999999999,34.91019,0.880280883431085,0.8910185806387161,180.0,0.083,33.91983,1.55,2025-01-01 06:00:00,Януари 
01.01.2025,2,Георги Томов,18500.0,2.0,14303.0,15594.0,6.2,15357.0,0.085,14052,0.709,0.243,0.048,0.36,0.00262,0.0027337537361229,0.00031,4.35612,34.683074999999995,0.8829430659077666,0.8878968739168682,175.0,0.085,34.9552875,1.55,2025-01-01 14:00:00,Януари 
01.01.2025,3,Николинка Мутафова,17022.0,0.0,15083.0,16438.0,5.8,15521.0,0.095,14047,0.733,0.189,0.078,0.38,0.00243,0.002610197636506,0.0003,4.214099999999999,33.427676100000006,0.8777640221465663,0.8863359967202429,169.0,0.083,33.024746300000004,1.55,2025-01-01 22:00:00,Януари 
02.01.2025,1,Димитър Цончев,5711.0,0.0,11636.0,12562.0,7.0,16160.0,0.087,14754,0.627,0.323,0.05,0.38,0.00237,0.0025798108174054,0.00029,4.27866,34.963315200000004,0.8788148401530945,0.8888213594700384,176.0,0.082,35.1571968,1.6,2025-01-02 06:00:00,Януари 
02.01.2025,2,Иванка Копаранска,18500.0,3.0,14132.0,15743.0,6.7,16138.0,0.082,14815,0.591,0.349,0.06,0.37,0.0024,0.0024893922105973,0.00028,4.148199999999999,32.977560000000004,0.88448522106309,0.8886887856345101,168.0,0.087,33.8365104,1.6,2025-01-02 14:00:00,Януари 
02.01.2025,3,Николинка Мутафова,20214.0,0.0,16348.0,17496.0,6.4,16211.0,0.083,14865,0.696,0.228,0.076,0.39,0.00229,0.0024921886982845,0.00028,4.1622,33.020886000000004,0.8788611855718208,0.8887984421246554,166.0,0.085,34.068927,1.6,2025-01-02 22:00:00,Януари 
03.01.2025,1,Димитър Цончев,3899.0,0.0,8147.0,9962.0,8.5,16143.0,0.076,14916,0.596,0.378,0.026,0.39,0.00244,0.0026126926253687,0.00028,4.17648,34.5172616,0.886418301849632,0.8940038818510752,178.0,0.084,35.0227104,1.58,2025-01-03 06:00:00,Януари 
03.01.2025,2,Иванка Копаранска,20366.0,2.0,14795.0,16667.0,7.8,16116.0,0.079,14843,0.614,0.359,0.027,0.39,0.00247,0.002748933706124,0.00027,4.00761,36.7599364,0.8918305468115847,0.9029355128274568,191.0,0.087,36.7599364,1.6,2025-01-03 14:00:00,Януари 
03.01.2025,3,Цвета Владова,17375.0,1.0,16111.0,17673.0,7.5,16130.0,0.086,14743,0.54,0.397,0.063,0.39,0.00236,0.0026690903615275,0.00027,3.98061,35.6675704,0.8867036562721625,0.8999784901758339,181.0,0.086,35.6179402,1.6,2025-01-03 22:00:00,Януари 
04.01.2025,1,Георги Томов,12100.0,0.0,15839.0,17263.0,7.0,16115.0,0.082,14794,0.581,0.366,0.053,0.39,0.00245,0.0025011805326483,0.00028,4.14232,32.9987952,0.886873597606582,0.8892201467307779,168.0,0.083,32.8601448,1.55,2025-01-04 06:00:00,Януари 
04.01.2025,2,Иванка Копаранска,19265.0,2.0,15284.0,17470.0,6.7,16166.0,0.085,14792,0.638,0.301,0.061,0.38,0.00245,0.002682605083829,0.00028,4.14176,35.993304,0.8868328135872787,0.8967693548035198,177.0,0.084,36.4634868,1.6,2025-01-04 14:00:00,Януари 
